"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
194,3271483.552227020260,-15.508964538574,0.000000000000,-68.752532958984,0.000000000000,53.243568420410,0.000000000000
195,3312234.135681152340,-15.508254051208,0.000000000000,-68.661705017090,0.000000000000,53.153450965881,0.000000000000
196,3353492.320667266850,-15.509342193604,0.000000000000,-68.587661743164,0.000000000000,53.078319549561,0.000000000000
197,3395264.430015563960,-15.510497093201,0.000000000000,-68.735755920410,0.000000000000,53.225258827209,0.000000000000
198,3437556.865325927730,-15.509967803955,0.000000000000,-68.687217712402,0.000000000000,53.177249908447,0.000000000000
199,3480376.107879638670,-15.510625839233,0.000000000000,-68.543685913086,0.000000000000,53.033060073853,0.000000000000
200,3523728.719860076900,-15.511536598206,0.000000000000,-68.642768859863,0.000000000000,53.131232261658,0.000000000000
201,3567621.345016479490,-15.510491371155,0.000000000000,-68.692718505859,0.000000000000,53.182227134705,0.000000000000
202,3612060.709918975830,-15.510574340820,0.000000000000,-68.678321838379,0.000000000000,53.167747497559,0.000000000000
203,3657053.624923706050,-15.510484695435,0.000000000000,-68.514434814453,0.000000000000,53.003950119019,0.000000000000
204,3702606.985153198240,-15.511605262756,0.000000000000,-68.752906799316,0.000000000000,53.241301536560,0.000000000000
205,3748727.771804809570,-15.511595726013,0.000000000000,-68.628837585449,0.000000000000,53.117241859436,0.000000000000
206,3795423.052852630620,-15.511357307434,0.000000000000,-68.585624694824,0.000000000000,53.074267387390,0.000000000000
207,3842699.984371185300,-15.511827468872,0.000000000000,-68.686866760254,0.000000000000,53.175039291382,0.000000000000
208,3890565.811573028560,-15.511975288391,0.000000000000,-68.696212768555,0.000000000000,53.184237480164,0.000000000000
209,3939027.869918823240,-15.511534690857,0.000000000000,-68.694458007813,0.000000000000,53.182923316956,0.000000000000
210,3988093.586181640620,-15.512344360352,0.000000000000,-68.680274963379,0.000000000000,53.167930603027,0.000000000000
211,4037770.479831695560,-15.512766838074,0.000000000000,-68.711524963379,0.000000000000,53.198758125305,0.000000000000
212,4088066.163818359380,-15.513072013855,0.000000000000,-68.770042419434,0.000000000000,53.256970405579,0.000000000000
